,Date,Open,High,Low,Close
0,2018-03-27,173.68,175.15,166.92,168.34
1,2018-03-26,168.07,173.1,166.44,172.77
2,2018-03-23,168.39,169.92,164.94,164.94
3,2018-03-22,170.0,172.68,168.6,168.845
4,2018-03-21,175.04,175.09,171.26,171.27
5,2018-03-20,175.24,176.8,174.94,175.24
6,2018-03-19,177.32,177.47,173.66,175.3
7,2018-03-16,178.65,179.12,177.62,178.02
8,2018-03-15,178.5,180.24,178.0701,178.65
9,2018-03-14,180.32,180.52,177.81,178.44
10,2018-03-13,182.59,183.5,179.24,179.97
11,2018-03-12,180.29,182.39,180.21,181.72
12,2018-03-09,177.96,180.0,177.39,179.98
13,2018-03-08,175.48,177.12,175.07,176.94
14,2018-03-07,174.94,175.85,174.27,175.03
15,2018-03-06,177.91,178.25,176.13,176.67
16,2018-03-05,175.21,177.74,174.52,176.82
17,2018-03-02,172.8,176.3,172.45,176.21
18,2018-03-01,178.54,179.775,172.66,175.0
19,2018-02-28,179.26,180.615,178.05,178.12
20,2018-02-27,179.1,180.48,178.16,178.39
21,2018-02-26,176.35,179.39,176.21,178.97
22,2018-02-23,173.67,175.65,173.54,175.555
23,2018-02-22,171.8,173.95,171.71,172.6
24,2018-02-21,172.83,174.12,171.01,171.07
25,2018-02-20,172.05,174.26,171.42,171.85
26,2018-02-16,172.36,174.82,171.77,172.43
27,2018-02-15,169.79,173.09,169.0,172.99
28,2018-02-14,163.045,167.54,162.88,167.37
29,2018-02-13,161.95,164.75,161.65,164.34
30,2018-02-12,158.5,163.89,157.51,162.71
31,2018-02-09,157.07,157.89,150.24,155.97
32,2018-02-08,160.29,161.0,155.03,155.32
33,2018-02-07,163.085,163.4,159.0685,159.54
34,2018-02-06,154.83,163.72,154.0,163.03
35,2018-02-05,159.1,163.88,156.0,157.49
36,2018-02-02,166.0,166.8,160.1,160.37
37,2018-02-01,167.165,168.62,166.76,167.78
38,2018-01-31,166.87,168.4417,166.5,167.43
39,2018-01-30,165.525,167.37,164.7,166.97
40,2018-01-29,170.16,170.16,167.07,167.96
41,2018-01-26,172.0,172.0,170.06,171.51
42,2018-01-25,174.505,174.95,170.53,171.11
43,2018-01-24,177.25,177.3,173.2,174.22
44,2018-01-23,177.3,179.44,176.82,177.04
45,2018-01-22,177.3,177.78,176.6016,177.0
46,2018-01-19,178.61,179.58,177.41,178.46
47,2018-01-18,179.37,180.1,178.25,179.26
48,2018-01-17,176.15,179.25,175.07,179.1
49,2018-01-16,177.9,179.39,176.14,176.19
50,2018-01-12,176.18,177.36,175.65,177.09
51,2018-01-11,174.59,175.4886,174.49,175.28
52,2018-01-10,173.16,174.3,173.0,174.29
53,2018-01-09,174.55,175.06,173.41,174.33
54,2018-01-08,174.35,175.61,173.93,174.35
55,2018-01-05,173.44,175.37,173.05,175.0
56,2018-01-04,172.54,173.47,172.08,173.03
57,2018-01-03,172.53,174.55,171.96,172.23
58,2018-01-02,170.16,172.3,169.26,172.26
59,2017-12-29,170.52,170.59,169.22,169.23
60,2017-12-28,171.0,171.85,170.48,171.08
61,2017-12-27,170.1,170.78,169.71,170.6
62,2017-12-26,170.8,171.47,169.679,170.57
63,2017-12-22,174.68,175.424,174.5,175.01
64,2017-12-21,174.17,176.02,174.1,175.01
65,2017-12-20,174.87,175.42,173.25,174.35
66,2017-12-19,175.03,175.39,174.09,174.54
67,2017-12-18,174.88,177.2,174.86,176.42
68,2017-12-15,173.63,174.17,172.46,173.87
69,2017-12-14,172.4,173.13,171.65,172.22
70,2017-12-13,172.5,173.54,172.0,172.27
71,2017-12-12,172.15,172.39,171.461,171.7
72,2017-12-11,169.2,172.89,168.79,172.67
73,2017-12-08,170.49,171.0,168.82,169.37
74,2017-12-07,169.03,170.44,168.91,169.452
75,2017-12-06,167.5,170.2047,166.46,169.01
76,2017-12-05,169.06,171.52,168.4,169.64
77,2017-12-04,172.48,172.62,169.63,169.8
78,2017-12-01,169.95,171.67,168.5,171.05
79,2017-11-30,170.43,172.14,168.44,171.85
80,2017-11-29,172.63,172.92,167.16,169.48
81,2017-11-28,174.3,174.87,171.86,173.07
82,2017-11-27,175.05,175.08,173.34,174.09
83,2017-11-24,175.1,175.5,174.6459,174.97
84,2017-11-22,173.36,175.0,173.05,174.96
85,2017-11-21,170.78,173.7,170.78,173.14
86,2017-11-20,170.29,170.56,169.56,169.98
87,2017-11-17,171.04,171.39,169.64,170.15
88,2017-11-16,171.18,171.87,170.3,171.1
89,2017-11-15,169.97,170.3197,168.38,169.08
90,2017-11-14,173.04,173.48,171.18,171.34
91,2017-11-13,173.5,174.5,173.4,173.97
92,2017-11-10,175.11,175.38,174.27,174.67
93,2017-11-09,175.11,176.095,173.14,175.88
94,2017-11-07,173.91,175.25,173.6,174.81
95,2017-11-06,172.365,174.99,171.72,174.25
96,2017-11-03,174.0,174.26,171.12,172.5
97,2017-11-02,167.64,168.5,165.28,168.11
98,2017-11-01,169.87,169.94,165.61,166.89
99,2017-10-31,167.9,169.6499,166.94,169.04
100,2017-10-30,163.89,168.07,163.72,166.72
101,2017-10-27,159.29,163.6,158.7,163.05
102,2017-10-26,157.23,157.8295,156.78,157.41
103,2017-10-25,156.91,157.55,155.27,156.405
104,2017-10-24,156.29,157.42,156.2,157.1
105,2017-10-23,156.89,157.69,155.5,156.17
106,2017-10-20,156.61,157.75,155.96,156.16
107,2017-10-19,156.75,157.08,155.02,155.98
108,2017-10-18,160.42,160.71,159.6,159.76
109,2017-10-17,159.78,160.87,159.23,160.47
110,2017-10-16,157.9,160.0,157.65,159.88
111,2017-10-13,156.73,157.28,156.41,156.99
112,2017-10-12,156.35,157.37,155.7299,156.0
113,2017-10-11,155.97,156.98,155.75,156.55
114,2017-10-10,156.055,158.0,155.1,155.9
115,2017-10-09,155.81,156.73,155.485,155.84
116,2017-10-06,154.97,155.49,154.56,155.3
117,2017-10-05,154.18,155.44,154.05,155.39
